0XX 0XX
94X 96X
145 96X
57X 96X
117 96X
131 96X
115 96X
91X 96X
219 96X
59X 96X
75X 96X
99X 96X
205 96X
69X 96X
113 96X
254 96X
14X 96X
86X 96X
102 96X
150 96X
14X 96X
126 96X
49X 96X
249 96X
245 96X
3XX 96X
83X 96X
43X 96X
107 96X
171 96X
75X 96X
99X 96X
189 96X
117 96X
133 96X
201 96X
145 96X
193 96X
254 96X
193 96X
145 96X
73X 96X
69X 96X
173 96X
99X 96X
27X 96X
231 96X
79X 96X
95X 96X
31X 96X
239 96X
55X 96X
7XX 96X
115 96X
61X 96X
149 96X
89X 96X
241 96X
209 96X
49X 96X
137 96X
249 96X
117 96X
67X 96X
75X 96X
199 96X
183 96X
15X 96X
15X 96X
103 96X
171 96X
67X 96X
149 96X
169 96X
126 96X
14X 96X
38X 96X
38X 96X
150 96X
110 96X
209 96X
185 96X
29X 96X
211 96X
187 96X
231 96X
215 96X
151 96X
7XX 96X
243 96X
61X 96X
101 96X
169 96X
193 96X
158 96X
206 96X
110 96X
62X 96X
49X 96X
57X 96X
141 96X
131 96X
171 96X
135 96X
55X 96X
143 96X
79X 96X
79X 96X
151 96X
199 96X
27X 96X
139 96X
19X 96X
195 96X
125 96X
125 96X
189 96X
3XX 96X
131 96X
195 96X
35X 96X
99X 96X
99X 96X
35X 96X
3XX 96X
61X 96X
29X 96X
205 96X
13X 96X
53X 96X
21X 96X
101 96X
37X 96X
165 96X
101 96X
229 96X
85X 96X
213 96X
13X 96X
77X 96X
13X 96X
205 96X
117 96X
53X 96X
37X 96X
185 96X
201 96X
225 96X
190 96X
206 96X
54X 96X
22X 96X
102 96X
54X 96X
14X 96X
254 96X
145 96X
249 96X
53X 96X
131 96X
51X 96X
75X 96X
155 96X
107 96X
11X 96X
195 96X
45X 96X
37X 96X
169 96X
145 96X
254 96X
254 96X
65X 96X
81X 96X
89X 96X
53X 96X
3XX 96X
203 96X
199 96X
55X 96X
111 96X
207 96X
247 96X
135 96X
75X 96X
3XX 96X
13X 96X
133 96X
153 96X
41X 96X
25X 96X
249 96X
13X 96X
3XX 96X
139 96X
135 96X
119 96X
207 96X
111 96X
15X 96X
39X 96X
171 96X
3XX 96X
53X 96X
105 96X
161 96X
174 96X
14X 96X
54X 96X
142 96X
158 96X
81X 96X
153 96X
117 96X
157 96X
51X 96X
11X 96X
235 96X
203 96X
243 96X
131 96X
109 96X
249 96X
201 96X
62X 96X
14X 96X
